institution_id,canonical_name,suggested_action,decision_ror,decision_type,decision_note,ror_matched_name,ror_country,ror_score,org_type,n_projects,review_reason,ror_id,match_method,sources,name_variants
local:thelittleloop,THELITTLELOOP,assign a type,,company,childrenswear rental business,,,,unknown,1.0,"no type rule matched, assign a type",,unmatched,gtr,THELITTLELOOP
local:50-ways-to-cook,50 WAYS TO COOK,assign a type,reject,company,Ways to Wellness unrelated; small food business,Ways to Wellness,GB,0.7,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,50 WAYS TO COOK
local:evolutor,EVOLUTOR,assign a type,,company,SME,,,,unknown,1.0,"no type rule matched, assign a type",,unmatched,gtr,EVOLUTOR
local:seloxium,SELOXIUM,assign a type,,company,chemistry spin-out,,,,unknown,1.0,"no type rule matched, assign a type",,unmatched,gtr,SELOXIUM
local:tate,TATE,assign a type,,nonprofit,assumed Tate galleries; verify vs Tate & Lyle,,,,unknown,1.0,"no type rule matched, assign a type",,unmatched,gtr,TATE
local:practical-action,PRACTICAL ACTION,assign a type,accept,nonprofit,development charity; match correct,Practical Action,GB,1.0,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,PRACTICAL ACTION
local:national-archives,National Archives,assign a type,accept,government,UK government department; match correct,National Archives,GB,1.0,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,National Archives
local:west-england-combined-authority,WEST OF ENGLAND COMBINED AUTHORITY,assign a type,reject,government,"combined authority, not the LEP",West of England Local Enterprise Partnership (United Kingdom),GB,0.91,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,WEST OF ENGLAND COMBINED AUTHORITY
local:nerc-ceh-up-to-30-11-2019,NERC CEH (Up to 30.11.2019),assign a type,reject,facility,NERC Centre for Ecology & Hydrology; match nonsense,Emerald Group Publishing (United Kingdom),GB,0.6,unknown,1.0,"no type rule matched, assign a type",,unmatched,gtr,NERC CEH (Up to 30.11.2019)
local:noc-up-to-31-10-2019,NOC (Up to 31.10.2019),assign a type,reject,facility,National Oceanography Centre; match nonsense,Emerald Group Publishing (United Kingdom),GB,0.63,unknown,1.0,"no type rule matched, assign a type",,unmatched,gtr,NOC (Up to 31.10.2019)
local:julies-bicycle,JULIES BICYCLE,assign a type,,nonprofit,arts and climate charity,,,,unknown,1.0,"no type rule matched, assign a type",,unmatched,gtr,JULIES BICYCLE
local:cumbria-action-for-sustainability,CUMBRIA ACTION FOR SUSTAINABILITY,assign a type,reject,nonprofit,'Action for AT' unrelated; local charity,Action for AT,GB,0.85,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,CUMBRIA ACTION FOR SUSTAINABILITY
local:reparle,REPARLE,assign a type,,company,"SME, low confidence",,,,unknown,1.0,"no type rule matched, assign a type",,unmatched,gtr,REPARLE
local:associated-british-ports,ASSOCIATED BRITISH PORTS,assign a type,reject,company,"ports operator, not a comms association",British Association of Public Safety Communications Officials,GB,0.83,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,ASSOCIATED BRITISH PORTS
local:mentera,MENTERA,assign a type,,company,"SME, low confidence",,,,unknown,1.0,"no type rule matched, assign a type",,unmatched,gtr,MENTERA
local:campden-bri,CAMPDEN BRI,assign a type,,nonprofit,membership food research association,,,,unknown,1.0,"no type rule matched, assign a type",,unmatched,gtr,CAMPDEN BRI
local:mitimeth-upcycling,MITIMETH UPCYCLING,assign a type,,company,Nigerian upcycling enterprise,,,,unknown,1.0,"no type rule matched, assign a type",,unmatched,gtr,MITIMETH UPCYCLING
local:icomat,ICOMAT,assign a type,,company,composites spin-out,,,,unknown,1.0,"no type rule matched, assign a type",,unmatched,gtr,ICOMAT
local:cambridge-sustainable-design,CAMBRIDGE SUSTAINABLE DESIGN,assign a type,reject,company,Cambridge IVF unrelated; design consultancy,Cambridge IVF,GB,0.87,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,CAMBRIDGE SUSTAINABLE DESIGN
local:hydrogen-south-west,HYDROGEN SOUTH WEST,assign a type,reject,other,iNets unrelated; industry consortium,iNets South West,GB,0.86,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,HYDROGEN SOUTH WEST
local:excir,EXCIR,assign a type,,company,materials recovery spin-out,,,,unknown,1.0,"no type rule matched, assign a type",,unmatched,gtr,EXCIR
local:newcastle-university,Newcastle University,reject the ROR match,reject,,"wrong organisation, foreign record",University of Newcastle Australia,AU,1.0,education,32.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr; openalex; scopus,NEWCASTLE UNIVERSITY; Newcastle University
local:university-arts-london,University of Arts London,reject the ROR match,reject,,"wrong organisation, foreign record",University of Arts,AL,1.0,education,7.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr; openalex; scopus; wos,"UNIVERSITY OF THE ARTS LONDON; UNIVERSITY OF THE ARTS, LONDON; University of Arts London; University of the Arts London"
local:manufacturing-technology-centre,THE MANUFACTURING TECHNOLOGY CENTRE LIMITED,reject the ROR match,reject,nonprofit,"UK research and technology organisation: company limited by guarantee, no share capital, provides research and innovation services rather than trading for shareholder return. Typed nonprofit rather than company so the intermediary layer is not folded into industry. Verified at Companies House (06815480): private company limited by guarantee without share capital. Rule applied to all seven RTO candidates; six met it, UK Battery Industrialisation Centre did not and is typed company.",Technology Centre Prague,CZ,1.0,company,7.0,"ROR matched a non-UK organisation to a UKRI-funded body, almost certainly wrong, confirm or reject",,ror_review_non_uk,gtr,THE MANUFACTURING TECHNOLOGY CENTRE LIMITED
local:agri-tech-centre,UK AGRI-TECH CENTRE LIMITED,reject the ROR match,reject,nonprofit,"UK research and technology organisation: company limited by guarantee, no share capital, provides research and innovation services rather than trading for shareholder return. Typed nonprofit rather than company so the intermediary layer is not folded into industry. Verified at Companies House (15297794): private company limited by guarantee without share capital. Rule applied to all seven RTO candidates; six met it, UK Battery Industrialisation Centre did not and is typed company.",IHI Agri-Tech Corporation (Japan),JP,0.86,company,4.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,UK AGRI-TECH CENTRE LIMITED
local:pragmatic-semiconductor,Pragmatic Semiconductor,reject the ROR match,reject,,"wrong organisation, foreign record",Taiwan Semiconductor Manufacturing Company (China),CN,0.86,company,3.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr; scopus,PRAGMATIC SEMICONDUCTOR LIMITED; Pragmatic Semiconductor
local:biorenewables-development-centre,THE BIORENEWABLES DEVELOPMENT CENTRE LIMITED,reject the ROR match,reject,nonprofit,"UK research and technology organisation: company limited by guarantee, no share capital, provides research and innovation services rather than trading for shareholder return. Typed nonprofit rather than company so the intermediary layer is not folded into industry. Verified at Companies House (07239727): private company limited by guarantee without share capital. Rule applied to all seven RTO candidates; six met it, UK Battery Industrialisation Centre did not and is typed company.",Chubb (Switzerland),CH,0.9,company,3.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr; scopus,Biorenewables Development Centre; THE BIORENEWABLES DEVELOPMENT CENTRE LIMITED
local:library-things,LIBRARY OF THINGS,reject the ROR match,reject,,"wrong organisation, foreign record",State Library of New South Wales,AU,0.84,unknown,2.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,LIBRARY OF THINGS
local:materials-processing-institute,MATERIALS PROCESSING INSTITUTE,reject the ROR match,reject,,"wrong organisation, foreign record",Polymer Processing Institute,US,0.86,nonprofit,2.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr; wos,MATERIALS PROCESSING INSTITUTE; Materials Processing Institute
local:rochdale-development-agency,ROCHDALE DEVELOPMENT AGENCY,reject the ROR match,reject,,"wrong organisation, foreign record",Space Development Agency,US,0.91,government,2.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,ROCHDALE DEVELOPMENT AGENCY
local:bio-based-biodegradable-industries-association-bbia,BIO-BASED AND BIODEGRADABLE INDUSTRIES ASSOCIATION (BBIA) LTD,reject the ROR match,reject,,"wrong organisation, foreign record",BTL Industries (United States),US,0.93,company,2.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,BIO-BASED AND BIODEGRADABLE INDUSTRIES ASSOCIATION (BBIA) LTD
local:astute-centre-excelence,ASTUTE CENTRE OF EXCELENCE,reject the ROR match,reject,,"wrong organisation, foreign record",GNSS Centre of Excellence,CZ,0.89,nonprofit,2.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,ASTUTE CENTRE OF EXCELENCE
local:milford-haven-port-authority,MILFORD HAVEN PORT AUTHORITY,reject the ROR match,reject,,"wrong organisation, foreign record",Information and Communication Technology Authority,KE,0.92,unknown,2.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,MILFORD HAVEN PORT AUTHORITY
local:battery-industrialisation-centre,UK BATTERY INDUSTRIALISATION CENTRE LTD,reject the ROR match,reject,company,"RTO test applied and FAILED: Companies House 11227726 is a private limited company with share capital, not limited by guarantee, so it does not meet the rule applied to the other six RTOs. Coventry City Council holds 75%+ of shares and voting rights. Typed company; the public ownership is noted as a limitation rather than reclassified.","The Furukawa Battery Co., Ltd. (Japan)",JP,0.77,company,2.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,UK BATTERY INDUSTRIALISATION CENTRE LTD
local:stfc-laboratories,STFC - LABORATORIES,reject the ROR match,reject,,"wrong organisation, foreign record",KGL Skin Study Center,US,0.9,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,STFC - LABORATORIES
local:oxfordshire-county-council,OXFORDSHIRE COUNTY COUNCIL,reject the ROR match,reject,,"wrong organisation, foreign record",Council of Southeast Pennsylvania,US,1.0,government,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,OXFORDSHIRE COUNTY COUNCIL
local:foundation-for-environmental-education,FOUNDATION FOR ENVIRONMENTAL EDUCATION,reject the ROR match,reject,,"wrong organisation, foreign record",Foundation for Environmental Medicine,IN,0.91,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,FOUNDATION FOR ENVIRONMENTAL EDUCATION
local:circular-textiles-foundation,CIRCULAR TEXTILES FOUNDATION,reject the ROR match,reject,,"wrong organisation, foreign record",KLS Foundation,US,0.93,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,CIRCULAR TEXTILES FOUNDATION
local:relondon-london-waste-recycling-board,RELONDON: LONDON WASTE AND RECYCLING BOARD,reject the ROR match,reject,,"wrong organisation, foreign record",MB Recycling,PL,0.83,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,RELONDON: LONDON WASTE AND RECYCLING BOARD
local:westmorland-furness-council,WESTMORLAND AND FURNESS COUNCIL,reject the ROR match,reject,,"wrong organisation, foreign record",Council of Southeast Pennsylvania,US,1.0,government,1.0,"ROR matched a non-UK organisation to a UKRI-funded body, almost certainly wrong, confirm or reject",,ror_review_non_uk,gtr,WESTMORLAND AND FURNESS COUNCIL
local:evolve-packaging,EVOLVE PACKAGING,reject the ROR match,reject,,"wrong organisation, foreign record",Packaging Arena,SE,0.75,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,EVOLVE PACKAGING
local:durham-filtration,Durham Filtration,reject the ROR match,reject,,"wrong organisation, foreign record",Regional Municipality of Durham,CA,0.73,company,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr; scopus,DURHAM FILTRATION LIMITED; Durham Filtration
local:birmingham-chamber-commerce-industry,BIRMINGHAM CHAMBER OF COMMERCE AND INDUSTRY,reject the ROR match,reject,,"wrong organisation, foreign record",Dhaka Chamber of Commerce & Industry,BD,0.95,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,BIRMINGHAM CHAMBER OF COMMERCE AND INDUSTRY
local:fair-winds-trust,FAIR WINDS TRUST,reject the ROR match,reject,,"wrong organisation, foreign record",Newark Trust for Education,US,1.0,nonprofit,1.0,"ROR matched a non-UK organisation to a UKRI-funded body, almost certainly wrong, confirm or reject",,ror_review_non_uk,gtr,FAIR WINDS TRUST
local:owens-poultry,OWENS POULTRY,reject the ROR match,reject,,"wrong organisation, foreign record",Owens Foundation,US,0.73,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,OWENS POULTRY
local:tyre-collective,THE TYRE COLLECTIVE,reject the ROR match,reject,,"wrong organisation, foreign record",Qualia Life Sciences (United States),US,0.89,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,THE TYRE COLLECTIVE
local:ppp-group,PPP GROUP,reject the ROR match,reject,,"wrong organisation, foreign record",Korea Petroleum Group (South Korea),KR,0.93,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,PPP GROUP
local:edale-estate,EDALE ESTATE,reject the ROR match,reject,,"wrong organisation, foreign record",BFP Lesy a statky Tomáše Bati,CZ,0.8,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,EDALE ESTATE
local:london-sch-hygiene-tropic-medicine,LONDON SCH OF HYGIENE & TROPIC. MEDICINE,reject the ROR match,reject,,"wrong organisation, foreign record",London Research and Development Centre,CA,0.84,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,LONDON SCH OF HYGIENE & TROPIC. MEDICINE
local:city-centre-containers,CITY CENTRE CONTAINERS LIMITED,reject the ROR match,reject,,"wrong organisation, foreign record",City University Malaysia,MY,0.92,company,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,CITY CENTRE CONTAINERS LIMITED
local:give-your-best-c-i-c,GIVE YOUR BEST C.I.C.,reject the ROR match,reject,,"wrong organisation, foreign record",Love Your Breasts,US,0.77,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,GIVE YOUR BEST C.I.C.
local:electric-corby-cic,ELECTRIC CORBY CIC,reject the ROR match,reject,,"wrong organisation, foreign record","OI Electric Co., Ltd. (Japan)",JP,0.84,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,ELECTRIC CORBY CIC
local:great-yarmouth-borough-council,GREAT YARMOUTH BOROUGH COUNCIL,reject the ROR match,reject,,"wrong organisation, foreign record",Council of Southeast Pennsylvania,US,1.0,government,1.0,"ROR matched a non-UK organisation to a UKRI-funded body, almost certainly wrong, confirm or reject",,ror_review_non_uk,gtr,GREAT YARMOUTH BOROUGH COUNCIL
local:bytes-peace-project,THE BYTES PEACE PROJECT,reject the ROR match,reject,,"wrong organisation, foreign record",Pachyonychia Congenita Project,US,0.9,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,THE BYTES PEACE PROJECT
local:climavore-cic,CLIMAVORE CIC,reject the ROR match,reject,,"wrong organisation, foreign record",Clinical Investigation Center Plurithematic Tours,FR,0.75,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,CLIMAVORE CIC
local:sustainable-home-survey-company,THE SUSTAINABLE HOME SURVEY COMPANY C.I.C.,reject the ROR match,reject,,"wrong organisation, foreign record",MEC Company Ltd. (Japan),JP,0.82,company,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,THE SUSTAINABLE HOME SURVEY COMPANY C.I.C.
local:world-biogas-association,WORLD BIOGAS ASSOCIATION,reject the ROR match,reject,,"wrong organisation, foreign record",Czech Biogas Association,CZ,0.88,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,WORLD BIOGAS ASSOCIATION
local:royal-mint,Royal Mint,reject the ROR match,reject,,"wrong organisation, foreign record",Royal Ottawa Mental Health Centre,CA,1.0,company,1.0,"ROR matched a non-UK organisation to a UKRI-funded body, almost certainly wrong, confirm or reject",,ror_review_non_uk,gtr; wos,Royal Mint; THE ROYAL MINT LIMITED
local:university-abertay-dundee,University of Abertay Dundee,reject the ROR match,reject,,"wrong organisation, foreign record",University of Wah,PK,0.94,education,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr; wos,UNIVERSITY OF ABERTAY DUNDEE; University of Abertay Dundee
local:city-to-sea-c-i-c,CITY TO SEA C.I.C.,reject the ROR match,reject,,"wrong organisation, foreign record","City Therapeutics, Inc. (United States)",US,0.92,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,CITY TO SEA C.I.C.
local:city-to-sea-cio,CITY TO SEA CIO,reject the ROR match,reject,,"wrong organisation, foreign record","City Therapeutics, Inc. (United States)",US,0.92,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,CITY TO SEA CIO
local:cumbria-tourism,Cumbria Tourism,reject the ROR match,reject,,"wrong organisation, foreign record",College of Tourism,BG,0.7,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,Cumbria Tourism
local:gyre-energy,GYRE ENERGY,reject the ROR match,reject,,"wrong organisation, foreign record",DTE Energy (United States),US,0.89,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,GYRE ENERGY
local:sirius-x-energy,SIRIUS-X ENERGY,reject the ROR match,reject,,"wrong organisation, foreign record",CGX Energy Inc. (Canada),CA,0.89,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,SIRIUS-X ENERGY
local:natural-history-museum,Natural History Museum,reject the ROR match,reject,,"wrong organisation, foreign record",Deutsche Meeresmuseum,DE,1.0,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr; openalex,Natural History Museum; THE NATURAL HISTORY MUSEUM
local:blenheim-palace-heritage-foundation,BLENHEIM PALACE HERITAGE FOUNDATION,reject the ROR match,reject,,"wrong organisation, foreign record",Heritage Foundation,US,1.0,nonprofit,1.0,"ROR matched a non-UK organisation to a UKRI-funded body, almost certainly wrong, confirm or reject",,ror_review_non_uk,gtr,BLENHEIM PALACE HERITAGE FOUNDATION
local:buckinghamshire-council,BUCKINGHAMSHIRE COUNCIL,reject the ROR match,reject,,"wrong organisation, foreign record",Council of Southeast Pennsylvania,US,1.0,government,1.0,"ROR matched a non-UK organisation to a UKRI-funded body, almost certainly wrong, confirm or reject",,ror_review_non_uk,gtr,BUCKINGHAMSHIRE COUNCIL
local:technology-edge,TECHNOLOGY EDGE,reject the ROR match,reject,,"wrong organisation, foreign record","V Technology Co., Ltd. (Japan)",JP,0.91,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,TECHNOLOGY EDGE
local:neste-oyj,NESTE OYJ,reject the ROR match,accept,company,Neste Oyj is Finnish; match correct,Neste Oil (Finland),FI,1.0,unknown,1.0,"ROR matched a non-UK organisation to a UKRI-funded body, almost certainly wrong, confirm or reject",,ror_review_non_uk,gtr,NESTE OYJ
local:worthy-farm-a-m-j-eavis-sole-trader,"WORTHY FARM (A M J EAVIS, SOLE TRADER)",reject the ROR match,reject,,"wrong organisation, foreign record",Youth Farm,US,0.8,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,"WORTHY FARM (A M J EAVIS, SOLE TRADER)"
local:soleil-power,SOLEIL POWER,reject the ROR match,reject,,"wrong organisation, foreign record",Plug Power (United States),US,0.82,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,SOLEIL POWER
local:neath-port-talbot-council,NEATH PORT TALBOT COUNCIL,reject the ROR match,reject,,"wrong organisation, foreign record",Council of Southeast Pennsylvania,US,1.0,government,1.0,"ROR matched a non-UK organisation to a UKRI-funded body, almost certainly wrong, confirm or reject",,ror_review_non_uk,gtr,NEATH PORT TALBOT COUNCIL
local:pembrokeshire-county-council,PEMBROKESHIRE COUNTY COUNCIL,reject the ROR match,reject,,"wrong organisation, foreign record",Council of Southeast Pennsylvania,US,1.0,government,1.0,"ROR matched a non-UK organisation to a UKRI-funded body, almost certainly wrong, confirm or reject",,ror_review_non_uk,gtr,PEMBROKESHIRE COUNTY COUNCIL
local:ecodesign-centre-edc,ECODESIGN CENTRE (EDC),reject the ROR match,reject,,"wrong organisation, foreign record",Asia Centre,TH,0.82,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,ECODESIGN CENTRE (EDC)
local:rural-design-centre,RURAL DESIGN CENTRE LIMITED,reject the ROR match,reject,,"wrong organisation, foreign record",Chubb (Switzerland),CH,0.9,company,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,RURAL DESIGN CENTRE LIMITED
local:nigeria-climate-innovation-center,NIGERIA CLIMATE INNOVATION CENTER,reject the ROR match,reject,,"wrong organisation, foreign record",Cyber Innovation Center,US,0.9,nonprofit,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,NIGERIA CLIMATE INNOVATION CENTER
local:cookson-marketing,COOKSON MARKETING,reject the ROR match,reject,,"wrong organisation, foreign record",HiTec Marketing,AT,0.8,unknown,1.0,"ROR match below the confidence gate, confirm or reject",,ror_review,gtr,COOKSON MARKETING
